,Title,Year of release,Genres
1043,Power Rangers Dino ChargeSeason 1 (22 episodes),2015,Kids' TV Shows Adventures Movies & TV for Kids
1044,Power Rangers Dino Super ChargeSeason 1 (22 episodes),2016,Kids' TV Shows Adventures Movies & TV for Kids
1045,Power Rangers Dino ThunderSeason 1 (38 episodes),2004,Kids' TV Shows Adventures Movies & TV for Kids
1046,Power Rangers Jungle FurySeason 1 (32 episodes),2008,Kids' TV Shows Adventures Movies & TV for Kids
1047,Power Rangers Lightspeed RescueSeason 1 (40 episodes),2000,Kids' TV Shows Comic Book & Superhero TV Movies & TV for Kids
1048,Power Rangers Lost GalaxySeason 1 (45 episodes),1999,Kids' TV Shows Comic Book & Superhero TV Movies & TV for Kids
1049,Power Rangers Mystic ForceSeason 1 (32 episodes),2006,Kids' TV Shows Comic Book & Superhero TV Movies & TV for Kids
1050,Power Rangers Ninja SteelSeason 1 (22 episodes)Season 2 (22 episodes),2018,Kids' TV Shows Comic Book & Superhero TV Movies & TV for Kids
1051,Power Rangers Ninja StormSeason 1 (38 episodes),2003,Kids' TV Shows Comic Book & Superhero TV Movies & TV for Kids
1052,Power Rangers Operation OverdriveSeason 1 (32 episodes),2007,Kids' TV Shows Comic Book & Superhero TV Movies & TV for Kids
1053,Power Rangers RPMSeason 1 (32 episodes),2009,Kids' TV Shows Comic Book & Superhero TV Movies & TV for Kids
1054,Power Rangers S.P.D.Season 1 (38 episodes),2005,Kids' TV Shows Adventures Movies & TV for Kids
1055,Power Rangers SamuraiSeason 1 (20 episodes),2011,Kids' TV Shows Comic Book & Superhero TV Movies & TV for Kids
1056,Power Rangers Super MegaforceSeason 1 (20 episodes),2014,Kids' TV Shows Comic Book & Superhero TV Movies & TV for Kids
1057,Power Rangers Super SamuraiSeason 1 (20 episodes),2012,Kids' TV Shows Comic Book & Superhero TV Movies & TV for Kids
1058,Power Rangers Time ForceSeason 1 (40 episodes),2001,Kids' TV Shows Movies & TV for Kids
1059,Power Rangers TurboSeason 1 (45 episodes),1997,Kids' TV Shows Comic Book & Superhero TV Movies & TV for Kids
1060,Power Rangers Wild ForceSeason 1 (40 episodes),2002,Kids' TV Shows Comic Book & Superhero TV Movies & TV for Kids
1061,Power Rangers ZeoSeason 1 (50 episodes),1996,Kids' TV Shows Comic Book & Superhero TV Movies & TV for Kids
1062,Power Rangers in SpaceSeason 1 (43 episodes),1998,Kids' TV Shows Comic Book & Superhero TV Adventures Movies & TV for Kids
1063,Power Rangers: MegaforceSeason 1 (20 episodes),2013,Kids' TV Shows Comic Book & Superhero TV Adventures Movies & TV for Kids
1064,Precision: The Measure of All ThingsSeason 1 (3 episodes),2013,Science & Nature Docs Documentaries Docuseries British TV Shows Science & Nature TV
1065,PresidentSeason 1 (20 episodes),2010,TV Dramas Political TV Shows Korean TV Shows TV Shows based on Manga
1066,Pretty Little LiarsSeason 1 (22 episodes)Season 2 (25 episodes)Season 3 (24 episodes)Season 4 (24 episodes)Season 5 (25 episodes)Season 6 (20 episodes)Season 7 (20 episodes),2017,TV Mysteries TV Dramas Crime TV Dramas Crime TV Shows Romantic TV Shows Teen TV Shows US TV Shows TV Shows based on Books
1067,Pretty ManSeason 1 (28 episodes),2018,TV Dramas Romantic TV Shows Chinese TV Shows TV Shows based on Books
1068,Pride and PrejudiceSeason 1 (21 episodes),2014,TV Dramas Crime TV Dramas Crime TV Shows Korean TV Shows
1069,Prince Jai Aur Dumdaar ViruSeason 1 (13 episodes)Season 2 (13 episodes),2017,Animation TV Animated Comedies TV Comedies TV Cartoons Kids' TV Shows Indian TV Shows Adventures Animated Movies & TV for Kids Hindi-Language TV Shows
1070,Prince WilliamSeason 1 (14 episodes),2014,TV Comedies TV Dramas Romantic TV Shows Chinese TV Shows Taiwanese TV Shows
1071,Prince of PeoriaOriginalPart 1 (8 episodes),2018,Sitcoms TV Comedies Kids' TV Shows Movies & TV for Kids
1072,Prison PlaybookOriginalSeason 1 (16 episodes),2017,TV Dramas Korean TV Shows
1073,Prohibition: A Film by Ken Burns and Lynn NovickSeason 1 (3 episodes),2011,Social & Cultural Docs Historical Documentaries Documentaries Political Documentaries Crime Documentaries Docuseries Political TV Shows Crime TV Shows US TV Shows Food & Travel TV
1074,Project Mc²OriginalPart 1 (3 episodes)Part 2 (6 episodes)Part 3 (6 episodes)Part 4 (1 episodes)Part 5 (5 episodes)Part 6 (5 episodes),2017,Kids' TV Shows Adventures Movies & TV for Kids
1075,Project RunwaySeason 9 (15 episodes)Season 10 (14 episodes),2012,Reality TV Shows Competition Reality TV US TV Shows
1076,Project S The SeriesSpike! (8 episodes)Side by Side (8 episodes)S.O.S. (8 episodes)Shoot! I Love You (8 episodes),2017,TV Dramas Teen TV Shows Thai TV Shows
1077,Puffin RockOriginalSeason 1 (13 episodes)Season 2 (13 episodes),2016,Animation TV Cartoons Kids' TV Shows Irish TV Shows Animated Movies & TV for Kids
1078,Pyaar Tune Kya KiyaSeason 1 (14 episodes)Season 2 (12 episodes)Season 3 (4 episodes),2014,TV Dramas Romantic TV Shows Indian TV Shows Hindi-Language TV Shows Social Issue TV Dramas
1079,QB1: Beyond the LightsSeason 1 (10 episodes)Season 2 (10 episodes),2018,Sports Documentaries Documentaries Sports & Fitness Docuseries US TV Shows
1080,Qin Empire: AllianceSeason 1 (51 episodes),2012,TV Dramas Period Pieces Political TV Shows Chinese TV Shows TV Shows based on Books
1081,QuanticoSeason 1 (22 episodes)Season 2 (22 episodes)Season 3 (12 episodes),2018,TV Mysteries TV Dramas Crime TV Dramas Crime TV Shows US TV Shows TV Thrillers
1082,Queen of No MarriageSeason 1 (34 episodes),2009,TV Comedies TV Dramas Romantic TV Shows Chinese TV Shows Taiwanese TV Shows
1083,Queen of the SouthSeason 1 (13 episodes)Season 2 (13 episodes),2017,TV Action & Adventure TV Dramas Crime TV Dramas Crime TV Shows US TV Shows TV Shows based on Books
1084,Queens of ComedySeason 1 (10 episodes),2017,TV Comedies Irreverent Stand-Up Comedy Stand-Up Comedy Indian TV Shows
1085,Queens vs. KingsSeason: 1 (10 episodes),2018,TV Comedies Stand-Up Comedy TV Variety & Talk Shows US TV Shows
1086,Queer EyeOriginalSeason 2 (8 episodes)Season 1 (8 episodes),2018,Reality TV Shows Makeover Reality TV US TV Shows Lifestyle
1087,Quiz From GodSeason 1 (10 episodes)Season 2 (12 episodes)Season 3 (12 episodes)Season 4 (12 episodes),2014,TV Mysteries TV Dramas Crime TV Dramas Crime TV Shows Korean TV Shows TV Thrillers
1088,Qué pena tu serieQué Pena tu Serie (12 episodes),2015,TV Comedies Romantic TV Shows Latin American TV Shows
1089,REA(L)OVEREA(L)OVE (9 episodes),2018,Reality TV Shows Romantic TV Shows Competition Reality TV Japanese TV Shows
1090,Rab Se Sohna IsshqSeason 1 (80 episodes),2012,TV Dramas Romantic TV Shows Indian TV Shows Hindi-Language TV Shows
1091,Race for the White HouseSeason 1 (6 episodes),2016,Historical Documentaries Documentaries Political Documentaries Docuseries Political TV Shows US TV Shows
1092,Radiant OfficeRadiant Office (16 episodes),2017,TV Comedies TV Dramas Korean TV Shows
1093,Rage of Bahamut: GenesisSeason 1 (12 episodes),2014,Action Anime Anime Series Anime Japanese TV Shows Sci-Fi & Fantasy Anime Anime based on a Video Game Anime for Gamers
1094,Raiders of the Lost ArtSeason 1 (6 episodes)Season 2 (12 episodes),2016,Historical Documentaries Documentaries Docuseries British TV Shows
1095,Raja Rasoi Aur Anya KahaniyanSeason 1 (11 episodes),2014,Social & Cultural Docs Documentaries Docuseries Indian TV Shows Food & Travel TV Hindi-Language TV Shows
1096,RakeSeason 1 (8 episodes)Season 2 (8 episodes)Season 3 (8 episodes)Season 4 (8 episodes),2016,TV Comedies TV Dramas Crime TV Dramas Crime TV Shows Australian TV Shows
1097,RamayanSeason 1 (56 episodes),2012,TV Dramas Indian TV Shows Hindi-Language TV Shows
1098,RaptureOriginalRapture: Season 1 (8 episodes),2018,Music Biographical Documentaries Hip-Hop Documentaries Docuseries Music & Musicals US TV Shows Music & Concert Documentaries
1099,Ray DonovanSeason 1 (12 episodes)Season 2 (12 episodes)Season 3 (12 episodes)Season 4 (12 episodes),2017,TV Dramas Crime TV Dramas Crime TV Shows US TV Shows
1100,Razia SultanSeason 1 (30 episodes),2015,TV Dramas Period Pieces Romantic TV Shows Indian TV Shows Hindi-Language TV Shows
1101,Re:MindOriginalSeason 1 (13 episodes),2017,TV Mysteries TV Dramas Teen TV Shows Japanese TV Shows TV Thrillers
1102,Re:Zero - Starting Life in Another WorldSeason 1 (25 episodes),2016,Anime Series Anime Japanese TV Shows TV Thrillers Sci-Fi & Fantasy Anime TV Shows based on Books Anime based on Books Anime based on Light Novels
1103,Ready for StartSeason 1 (12 episodes),2016,TV Comedies TV Dramas Korean TV Shows TV Shows based on Comics
1104,Real DetectiveSeason 1 (8 episodes)Season 2 (8 episodes),2017,Documentaries Crime Documentaries Docuseries Crime TV Shows Canadian TV Shows
1105,Real RobOriginalSeason 1 (8 episodes)Season 2 (8 episodes),2017,Sitcoms TV Comedies US TV Shows
1106,Reality of DreamSeason 1 (12 episodes),2015,TV Dramas Romantic TV Shows Thai TV Shows
1107,RebellionOriginalSeason 1 (5 episodes)Season 2 (5 episodes),2016,TV Dramas Political TV Shows Irish TV Shows
1108,Reboot: The Guardian CodeOriginalSeason 1 (10 episodes)Season 2 (10 episodes),2018,Animation TV Cartoons Kids' TV Shows Canadian TV Shows Animated Movies & TV for Kids
1109,Red vs. BlueVolume 1 (1 episodes)Volume 2 (1 episodes)Volume 3 (1 episodes)Volume 4 (1 episodes)Volume 5 (1 episodes)Volume 6 (1 episodes)Volume 7 (1 episodes)Volume 8 (1 episodes)Volume 9 (1 episodes)Volume 10 (1 episodes)Volume 11 (1 episodes)Volume 12 (1 episodes)Volume 13 (1 episodes),2015,TV Sci-Fi & Fantasy Animation TV Animated Comedies TV Comedies TV Action & Adventure US TV Shows
1110,Refresh ManSeason 1 (28 episodes),2016,TV Comedies Romantic TV Shows Chinese TV Shows Taiwanese TV Shows
1111,Reggie Yates Outside ManVolume 1 (6 episodes)Volume 2 (6 episodes),2017,Social & Cultural Docs Documentaries Docuseries British TV Shows
1112,ReignSeason 1 (22 episodes)Season 2 (22 episodes)Season 3 (18 episodes)Season 4 (16 episodes),2017,TV Dramas Period Pieces Political TV Shows US TV Shows
1113,Religion of SportsSeason 1 (6 episodes),2016,Sports Documentaries Documentaries Sports & Fitness Docuseries US TV Shows
1114,RememberSeason 1 (20 episodes),2016,TV Mysteries TV Dramas Crime TV Dramas Crime TV Shows Korean TV Shows
1115,Reply 1994Season 1 (21 episodes),2014,TV Comedies TV Dramas Romantic TV Shows Korean TV Shows
1116,Reply 1997Season 1 (16 episodes),2012,TV Comedies TV Dramas Romantic TV Shows Teen Romance Teen TV Shows Korean TV Shows
1117,Republic of DoyleSeason 1 (12 episodes)Season 2 (13 episodes)Season 3 (13 episodes)Season 4 (13 episodes)Season 5 (16 episodes)Season 6 (10 episodes),2014,TV Comedies TV Dramas Crime TV Dramas Crime TV Shows Canadian TV Shows
1118,RequiemOriginalRequiem: Season 1 (6 episodes),2018,TV Mysteries TV Dramas British TV Shows TV Thrillers
1119,ResidueSeason 1 (3 episodes),2015,TV Sci-Fi & Fantasy TV Mysteries British TV Shows TV Horror TV Thrillers
1120,Resurrection: ErtugrulSeason 1 (76 episodes)Season 2 (103 episodes)Season 3 (45 episodes),2017,TV Action & Adventure TV Dramas Period Pieces
1121,RetributionOriginalSeason 1 (4 episodes),2016,TV Mysteries TV Dramas Crime TV Dramas Crime TV Shows British TV Shows TV Thrillers
1122,Richard Hammond's Crash CourseSeries 1 (6 episodes)Series 2 (8 episodes),2012,Reality TV Shows British TV Shows Science & Nature TV
1123,Richie RichOriginalSeason 1 (10 episodes)Season 2 (11 episodes),2015,Sitcoms TV Comedies Kids' TV Shows Movies & TV for Kids TV Shows based on Comics
1124,Rick and MortySeason 1 (11 episodes)Season 2 (10 episodes)Season 3 (10 episodes),2017,TV Sci-Fi & Fantasy Sitcoms Animation TV Animated Comedies TV Comedies TV Action & Adventure US TV Shows
1125,Rishta.comSeason 1 (26 episodes),2010,TV Comedies TV Dramas Romantic TV Shows Indian TV Shows Hindi-Language TV Shows
1126,RitaOriginalSeason 1 (8 episodes)Season 2 (8 episodes)Season 3 (8 episodes)Season 4 (8 episodes),2017,TV Comedies TV Dramas Scandinavian TV Shows Danish TV Shows
1127,RiverOriginalSeason 1 (6 episodes),2015,TV Mysteries TV Dramas Crime TV Dramas Crime TV Shows British TV Shows TV Thrillers
1128,RiverdaleSeason 1 (13 episodes)Season 2 (22 episodes)Season 3 (13 episodes),2019,TV Mysteries TV Dramas Crime TV Dramas Crime TV Shows Teen TV Shows US TV Shows TV Shows based on Comics
1129,Robocar PoliSeason 1 (26 episodes)Season 2 (26 episodes)Season 3 (26 episodes)Season 4 (26 episodes),2015,Animation TV Cartoons Kids' TV Shows Animated Movies & TV for Kids Korean TV Shows
1130,RobozunaOriginalSeason 1 (10 episodes),2018,Animation TV Cartoons Kids' TV Shows British TV Shows Animated Movies & TV for Kids
1131,Roll No. 21Season 3 (12 episodes)Season 4 (13 episodes),2013,Animation TV Animated Comedies TV Comedies TV Cartoons Kids' TV Shows Indian TV Shows Animated Movies & TV for Kids Hindi-Language TV Shows
1132,Roman EmpireOriginalMaster of Rome (5 episodes)Reign of Blood (6 episodes),2018,Historical Documentaries Documentaries Docuseries US TV Shows
1133,Romance BlueSeason 1 (6 episodes),2015,TV Dramas Romantic TV Shows Korean TV Shows
1134,Romance Is a Bonus BookOriginalSeason 1 (12 episodes),2019,TV Comedies TV Dramas Romantic TV Shows Korean TV Shows
1135,Rooftop PrinceRooftop Prince (20 episodes),2012,TV Sci-Fi & Fantasy TV Comedies Romantic TV Shows Korean TV Shows
1136,Rostered OnSeason 1 (7 episodes),2016,Sitcoms TV Comedies Australian TV Shows
1137,RottenOriginalSeason 1 (6 episodes),2018,Social & Cultural Docs Documentaries Docuseries Science & Nature TV US TV Shows
1138,RuPaul's Drag RaceOriginalSeason 1 (9 episodes)Season 2 (12 episodes)Season 3 (16 episodes)Season 4 (14 episodes)Season 5 (14 episodes)Season 6 (14 episodes)Season 7 (14 episodes)Season 8 (10 episodes)Season 9 (14 episodes)Season 10 (14 episodes)Season 11 (1 episodes),2019,Reality TV Shows Competition Reality TV US TV Shows
1139,RuPaul’s Drag Race: All StarsSeason 4 (10 episodes),2018,Reality TV Shows Competition Reality TV US TV Shows
1140,RuPaul’s Drag Race: Untucked!OriginalSeason 11 (1 episodes),2019,Reality TV Shows Competition Reality TV US TV Shows
1141,Rurouni KenshinPart 1 (27 episodes)Part 2 (39 episodes)Part 3 (28 episodes),1998,Action Anime Anime Series Anime Japanese TV Shows TV Shows based on Manga
1142,Russell Peters vs. the WorldOriginalSeason 1 (4 episodes),2013,Documentaries Docuseries Irreverent Stand-Up Comedy Stand-Up Comedy US TV Shows Politically Incorrect Stand-up Comedy
1143,Russian DollOriginalSeason 1 (8 episodes),2019,TV Comedies TV Dramas US TV Shows
1144,SHIROBAKOSeason 1 (24 episodes),2015,Drama Anime Anime Series Anime Japanese TV Shows
1145,SWORDGAI The AnimationOriginalPart I (12 episodes)Part II (12 episodes),2018,Action Anime Anime Series Anime Japanese TV Shows Sci-Fi & Fantasy Anime TV Shows based on Manga
1146,Sab Jholmaal HaiSeason 1 (13 episodes)Season 2 (13 episodes)Season 3 (13 episodes)Season 4 (13 episodes),2017,Animation Animal Tales TV Animated Comedies TV Comedies TV Cartoons Kids' TV Shows Indian TV Shows Animated Movies & TV for Kids Hindi-Language TV Shows
1147,Sacred GamesOriginalSeason 1 (8 episodes),2018,TV Mysteries TV Dramas Crime TV Dramas Crime TV Shows Indian TV Shows Hindi-Language TV Shows TV Thrillers TV Shows based on Books
1148,Sadqay TumhareSeason 1 (27 episodes),2014,TV Dramas Romantic TV Shows
1149,SafeOriginalSeason 1 (8 episodes),2018,TV Mysteries TV Dramas Crime TV Dramas Crime TV Shows British TV Shows TV Thrillers
1150,Saga of Tanya the EvilSeason 1 (12 episodes),2017,Action Anime Anime Series Anime Japanese TV Shows Sci-Fi & Fantasy Anime TV Shows based on Books Anime based on Books Anime based on Light Novels
1151,"Saimdang, Memoir of ColorsSeason 1 (28 episodes)",2017,TV Dramas Korean TV Shows
1152,Saint Seiya: The Lost CanvasSeason 1 (26 episodes),2009,Action Anime Anime Series Anime Japanese TV Shows Sci-Fi & Fantasy Anime TV Shows based on Manga
1153,Saints & StrangersSeason 1 (2 episodes),2015,TV Dramas Period Pieces US TV Shows
1154,Saiyuki Reload BlastSeason 1 (12 episodes),2017,Action Anime Anime Series Anime Japanese TV Shows Sci-Fi & Fantasy Anime TV Shows based on Manga
1155,Salt Fat Acid HeatOriginalSeason 1 (4 episodes),2018,Travel & Adventure Documentaries Documentaries Docuseries US TV Shows Food & Travel TV TV Shows based on Books
1156,SalvationSeason 1 (13 episodes),2017,TV Sci-Fi & Fantasy TV Dramas US TV Shows TV Thrillers
1157,"Samagri, Sampatti aur SaudaSeason 1 (13 episodes)",2015,Animation Documentaries Docuseries Indian TV Shows Hindi-Language TV Shows
1158,Samantha!OriginalSeason 1 (7 episodes),2018,Sitcoms TV Comedies Latin American TV Shows Brazilian TV Shows
1159,Sammy & Bella's Kitchen RescueSeason 1 (12 episodes),2018,Reality TV Shows Australian TV Shows Food & Travel TV Home & Garden TV Shows Lifestyle
1160,Samurai GourmetOriginalSeason 1 (12 episodes),2017,TV Dramas Japanese TV Shows TV Shows based on Manga
1161,Santa Clarita DietOriginalSeason 1 (10 episodes)Season 2 (10 episodes),2018,TV Comedies US TV Shows TV Horror
1162,"Sassy, Go GoSeason 1 (12 episodes)",2015,TV Dramas Teen TV Shows Korean TV Shows
1163,SatrangiSeason 1 (13 episodes),2014,Music Social & Cultural Docs Documentaries Docuseries Music & Musicals Indian TV Shows Hindi-Language TV Shows Music & Concert Documentaries
1164,Satu HariSeason 1 (14 episodes),2014,TV Dramas Malaysian TV Shows
1165,Save Our ShelterSeason 1 (17 episodes),2015,Reality TV Shows Makeover Reality TV Movies & TV for Kids US TV Shows Home & Garden TV Shows Family Watch Together TV Lifestyle
1166,Saving Sirga: Journey into the Heart of a LionSeason 1 (6 episodes),2016,Science & Nature Docs Documentaries Docuseries Science & Nature TV
1167,Schitt's CreekSeason 1 (13 episodes)Season 2 (13 episodes)Season 3 (13 episodes)Season 4 (13 episodes),2018,Sitcoms TV Comedies Canadian TV Shows
1168,ScorpionSeason 1 (22 episodes)Season 2 (25 episodes)Season 3 (25 episodes),2016,TV Action & Adventure TV Dramas Crime TV Dramas Crime TV Shows US TV Shows
